total_electricity_kw,fans_kw,cooling_kw,heating_kw,lights_kw,equipment_kw,total_gas_kw,Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),datetime
1132.6423582,101.247039609,512.228786567,0,65.1572554096,220.04316451,554.693642902,457.50844572,70.808374512,26.3768226697,2022-12-25 11:00:00
1152.98784008,101.247039609,525.285988462,0,65.1572554096,220.04316451,540.963503538,443.77583626,70.808374512,26.3792927665,2022-12-25 12:00:00
1163.82515502,101.247039609,536.637507659,0,65.1572554096,220.04316451,516.883812894,428.482719701,70.808374512,17.5927186801,2022-12-25 13:00:00
1168.18731791,101.247039609,544.109262371,0,65.1572554096,212.545889182,491.028774943,408.002285294,56.6466996096,26.3797900389,2022-12-25 14:00:00
1172.59977748,101.247039609,543.409604994,0,65.1572554096,212.545889182,452.223255366,383.356282964,42.4850247072,26.3819476949,2022-12-25 15:00:00
1167.53237138,101.247039609,537.579689981,0,65.1572554096,212.545889182,445.238841959,362.213015132,56.6466996096,26.3791272169,2022-12-25 16:00:00
1147.9190846,101.247039609,540.477473242,0,65.1572554096,220.04316451,469.785925107,358.434372654,84.9700494144,26.3815030379,2022-12-25 17:00:00
1117.41246209,101.247039609,547.820302507,0,54.0258772165,184.38654557,497.854429705,395.360228549,84.9700494144,17.5241517414,2022-12-25 18:00:00
1069.37453743,101.247039609,546.051324323,0,44.4937663224,163.454314868,537.660905219,435.304243644,84.9700494144,17.3866121606,2022-12-25 19:00:00
1047.07374693,101.247039609,542.923348801,0,44.4937663224,155.95703954,508.52747902,443.179054151,56.6466996096,8.70172525919,2022-12-25 20:00:00
993.357115046,101.247039609,535.16194311,0,44.4937663224,124.558693486,554.705970329,480.673521535,56.6466996096,17.3857491846,2022-12-25 21:00:00
920.276710047,101.247039609,463.687994884,0,44.4937663224,124.558693486,545.999767598,494.810767693,42.4850247072,8.70397519757,2022-12-25 22:00:00
917.711616686,101.247039609,461.311170696,0,34.9616554283,124.558693486,566.654077979,520.945795391,28.3233498048,17.3849327833,2022-12-25 23:00:00
